address,allocation
0x8d990e21519507bebe63a515b2bb504abc1afde7,900
0x880b2a4b7c5ecb3d4a9f1515f33fce5c1a648549,900
0xdc222a7dd28336a0948b3d2b1f18242b7dfa3cb6,900
0xcfc63bc042ba26d517c1a5b758e6a692b7dd30e4,900
0x793bb00dc9c2c0bd4d9fd47601f7b6621036f573,900
0x4ed7ac0e9241db918a38155b3294fa4ac9bc2ec0,900
0x00a36d043196e60f8adeeb4872973c8f785e8936,900
0x81d3592939ff4979b49625bc39f5afa182b90ee2,900
0xeb3a776031e1f1effa70e5ae88a5adb7b0393450,900
0x02273472ab432d0a37b3547216045e2393c70d63,900
0xede3bc847072de869d24f4b9e80c2f99fde26cce,900
0x88d2683783fc579695bcc5940bd4f23248663822,900
0xea2244d86012a5e06ea5466841a9b0747614f886,900
0x1eb1c34f7c5baa8c009a41cef3a1831110db0617,900
0x41218f6153f2908a3a1f892194711cdad6212019,900
0x700576552377cec253669327f3b7d9ef8a152f93,900
0xe6bbb725c0499914568fe1e62c16bdfc6e37c3ee,900
0x24355faffa40f5011f5610672a8b4dc2025ea1de,900
0xe928aebceb063e7def8c22ee6d0cce7b5e3d6de1,900
0x2702195d5b5e8ac5ab9f78e8a905404fba5d3bd6,900
0x2fba63c5179ceae00dff8e550469af499294548c,900
0x1f08768c935925c1797b08f31ae3ff930f0a60fb,900
0x6c27d55e52e3bf85d6b0214c78410d03091319d2,900
0xf42a88778aeefea4033b1085d14ce0a3e492d41e,900
0x8d561481814add0826526847f1558039d26b2156,900
0x153c4e3e5213a4ada781c3b8349e751dbb0ce44a,900
0x82a349cc42d82a39ad364d93da1c5a96282064be,900
0x3649fc3d86a4afa60a77479cdc5749f4855aaed3,900
0xc1a60188407a8069451fe2fa71d3829e56ab81cc,900
0x919e0ed8684b1325376b838940702fd1088cd3ae,900
0x05eeab4d355b841dfc4d85015ca51b403b323014,900
0x05880288c69ba88b96005ea83c972efbb564e830,900
0x1dc65e0229a086b70a5fe92ab8a1379d929996d9,900
0x44eb40fce768ad1a70f06f78e8831959c913dbb5,900
0x2033676c3ffda0a0c7527fc244df7f7db5325eb7,900
0x9b9b569d9471b787157c9d682bd4af172df3b351,900
0x4af012ca6ca6830c0e6441a707178e6d44402fba,900
0x05cd827166be414bcdd34f83847c7c448a685357,900
0x5dcf87110c894acec52c025a9989d6d7bf7fffe3,900
0x89ba239dceed0e09f717c5d95e37c66fad79b9a1,900
0x01e7615f024fb796369d60e1edb35e80e31c83fa,900
0x334b33e968d0d23613371d5e4dfe5ba9be7676ef,900
0x232a9e5755569e1968b19e865b0658350d36f750,863.9751807
